Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.41465054165,1,37,18-25,Male,0.0519211977366355,0,Poor,1,2,Moderate,8,2,58.6257202798976,7412.7527601721,Wet,Weather,4,40499.856981663,22072.8785015057,Europe,3866.27301408199
UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.31135811141,3,96,18-25,Female,0.234893466902548,1,Poor,1,1,Minor,6,1,58.0413798993278,4458.62881960818,Snow-covered,Mechanical Failure,3,6486.60007271096,9534.39944065122,North America,2333.91622401194
USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.286505984375,4,62,41-60,Male,0.142365602839279,0,Moderate,0,0,Moderate,13,4,42.3744524068085,9856.91506433183,Wet,Speeding,4,29164.4129819465,58009.1451244767,South America,4408.88912857895
UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384535519872,2,78,18-25,Male,0.120814771675671,1,Good,2,0,Minor,6,3,48.5540142851477,4958.64626721225,Icy,Distracted Driving,3,25797.2125656217,20907.151302441,Australia,2810.82242292037
Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.344849810368,1,98,41-60,Male,0.155841590501522,1,Poor,0,1,Moderate,13,4,18.3182497304699,3843.19146253768,Icy,Distracted Driving,8,15605.2939206434,13584.0607588108,South America,3883.64563447374
India,2010,May,Monday,Evening,Urban,Street,Snowy,479.216833605299,2,30,18-25,Male,0.0840023187146544,1,Moderate,2,2,Severe,10,4,8.20599409545793,360.951795193078,Dry,Speeding,7,40980.7181640213,45995.6052522006,South America,3626.07402673945
China,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.176217308302,3,92,41-60,Male,0.0752929262927643,0,Poor,2,1,Moderate,10,3,17.8516627651456,7607.80470548657,Wet,Weather,9,47248.0202380471,52342.4318059662,Asia,3408.18234058372
USA,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.6086877346578,3,61,26-40,Male,0.0516108625275245,0,Good,1,1,Minor,6,2,46.7403666824491,6061.40700169792,Dry,Speeding,8,4262.75562065268,70652.2235174394,South America,408.296452792595
Japan,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.828675482082,3,106,26-40,Male,0.159767533771711,1,Poor,1,2,Minor,4,2,26.5436096174073,3793.85054196065,Snow-covered,Mechanical Failure,5,37624.7759813005,13724.6309498977,Europe,2058.89827924211
USA,2007,April,Monday,Evening,Urban,Highway,Foggy,443.965408234545,3,74,18-25,Male,0.0976205287327644,1,Moderate,1,0,Minor,2,3,44.6933554588925,1140.42930778506,Snow-covered,Distracted Driving,0,15801.1900758121,61948.8627511732,Australia,1840.20614312097
Canada,2017,July,Wednesday,Night,Rural,Highway,Foggy,380.969472627852,1,30,<18,Male,0.0296708336501106,1,Moderate,1,0,Severe,1,1,16.8991734908261,578.030575526768,Snow-covered,Distracted Driving,2,14028.7986283958,62926.2625976749,Europe,4706.64644929304
USA,2014,September,Wednesday,Evening,Rural,Main Road,Snowy,132.276562406415,2,68,18-25,Male,0.227516707210279,1,Good,2,1,Moderate,12,2,44.8384549380045,7656.41273097485,Dry,Weather,7,14081.4928640011,66882.1300923758,Europe,3889.4074324191
UK,2005,January,Tuesday,Afternoon,Urban,Street,Snowy,292.786199613126,4,31,18-25,Male,0.10725531396009,1,Good,2,1,Minor,13,0,22.6090717301127,5974.68015054,Snow-covered,Drunk Driving,8,33690.17455189,39727.2770026897,Europe,3765.60494406785
Canada,2008,September,Thursday,Evening,Rural,Main Road,Snowy,166.524059095518,3,112,18-25,Male,0.10841025959505,1,Good,2,2,Minor,0,2,54.3576133225639,143.55852675356,Icy,Drunk Driving,4,37527.8137388677,56080.8851323449,Asia,3269.77758462859
Japan,2013,May,Thursday,Afternoon,Rural,Main Road,Foggy,417.339588231679,3,64,41-60,Male,0.0916752464714165,0,Poor,1,2,Severe,14,0,12.7504107635045,6592.82768609434,Icy,Drunk Driving,9,14545.7964736373,35265.9907247938,Europe,3454.57314928018
UK,2001,August,Thursday,Morning,Rural,Main Road,Snowy,435.422429806567,3,39,<18,Male,0.0763787025697046,1,Moderate,1,2,Moderate,0,3,39.5676106146036,6379.0546693144,Icy,Mechanical Failure,8,33720.8914994823,1065.83437115106,North America,4080.43518361346
USA,2010,October,Monday,Morning,Urban,Main Road,Rainy,264.627685661734,4,36,41-60,Male,0.0066097106787544,0,Good,0,2,Minor,18,1,20.3410969223138,6887.74917018565,Dry,Distracted Driving,9,47749.0107105908,66730.5191734606,South America,2499.35690041156
UK,2017,August,Saturday,Evening,Urban,Street,Rainy,103.057854194841,4,92,<18,Female,0.224764976425335,0,Moderate,1,2,Minor,4,3,37.531048659584,4854.72080761277,Snow-covered,Weather,8,5739.55371836723,4088.72764302422,Europe,4146.97561048533
China,2002,May,Wednesday,Evening,Urban,Main Road,Foggy,173.864443925212,2,33,18-25,Female,0.113892255058043,0,Poor,0,2,Minor,15,3,17.4141057766828,2917.2593896633,Wet,Distracted Driving,2,3747.05711671561,84944.1907734592,Europe,3138.57470740827
Russia,2009,July,Monday,Afternoon,Rural,Highway,Foggy,183.336005428121,3,82,61+,Female,0.131107587588733,1,Moderate,1,2,Minor,12,0,9.56315021110485,9536.58970675451,Icy,Mechanical Failure,7,38208.7280130688,64241.8626130636,Asia,310.440000143739
UK,2013,April,Wednesday,Afternoon,Rural,Highway,Rainy,145.165210431026,4,66,<18,Male,0.0146467515845839,0,Poor,0,0,Minor,16,3,51.1717292321099,9019.03588153381,Dry,Mechanical Failure,4,10654.4765609136,83305.2345332259,Europe,1531.27001754413
Canada,2004,December,Wednesday,Morning,Urban,Street,Rainy,110.106526247419,1,57,61+,Male,0.100969227544507,1,Good,1,1,Moderate,10,0,20.1318554898626,8767.69536956148,Wet,Mechanical Failure,8,6400.22102677168,17317.6989634593,Asia,4080.56257689309
Brazil,2020,October,Monday,Afternoon,Rural,Street,Windy,302.088888899267,1,82,18-25,Male,0.0919614021789006,1,Poor,1,0,Minor,3,1,15.081642107604,1162.15708528012,Snow-covered,Weather,5,10807.0043127021,63180.5912268808,Asia,4016.23094655179
China,2008,January,Monday,Afternoon,Rural,Street,Windy,201.357267049298,1,37,<18,Male,0.0990357672986154,0,Moderate,0,1,Moderate,1,2,53.0022855379473,4458.47527826751,Icy,Distracted Driving,5,1879.14769447859,67036.9733310704,Australia,2593.51473860754
Japan,2010,February,Saturday,Night,Urban,Street,Rainy,247.278276986134,1,52,<18,Male,0.230496345106358,0,Moderate,0,0,Minor,8,2,27.8054023772901,1597.59543917404,Snow-covered,Mechanical Failure,7,3526.58748590623,76103.5761598161,Asia,3572.20141795511
USA,2023,October,Wednesday,Night,Rural,Highway,Clear,114.041036476866,1,61,18-25,Female,0.0433962612620743,1,Good,2,2,Severe,11,1,9.79566110707122,3626.72895812965,Icy,Weather,4,10775.2425118588,7270.60350015221,South America,2618.63305956876
UK,2007,June,Sunday,Night,Urban,Highway,Clear,106.251753945257,2,83,<18,Female,0.216077186585017,0,Good,2,2,Minor,12,0,19.6984477992917,7756.81917279291,Icy,Weather,9,27161.5359089262,12670.8475602204,South America,224.700756599936
Russia,2024,November,Thursday,Afternoon,Urban,Street,Clear,424.298930189914,2,96,18-25,Male,0.162614852928748,1,Moderate,0,2,Moderate,9,3,21.5283242811945,778.561787475569,Dry,Mechanical Failure,5,37342.0854083425,36795.6485593096,North America,3972.91175867485
Japan,2008,April,Thursday,Night,Urban,Street,Rainy,378.210041398595,2,58,18-25,Female,0.0128078100426772,1,Moderate,1,1,Moderate,11,4,29.6438579176114,6903.16425099292,Wet,Drunk Driving,1,38606.4736615644,95979.1967863357,South America,2016.852848181
USA,2014,October,Sunday,Evening,Rural,Main Road,Foggy,422.808053435156,3,98,26-40,Male,0.12521998020163,0,Good,0,1,Minor,11,1,20.893319305925,358.449782458707,Dry,Weather,1,3678.68502416884,58344.5550844115,Europe,2800.3821577992
USA,2021,May,Saturday,Afternoon,Urban,Main Road,Foggy,464.38398446544,1,114,26-40,Female,0.13407613176396,1,Moderate,1,0,Minor,7,4,9.09002845478346,1156.56286586845,Icy,Distracted Driving,9,38889.5282609847,98875.3720283494,North America,4685.9038491188
Germany,2009,November,Sunday,Evening,Urban,Main Road,Snowy,420.589728209045,4,83,61+,Male,0.159876761076708,1,Moderate,1,0,Minor,7,0,35.4432841139208,8577.47824985559,Dry,Distracted Driving,7,20557.191405031,27672.3023465146,North America,1807.0412825026
Canada,2002,August,Wednesday,Morning,Rural,Main Road,Windy,337.697409811028,4,81,61+,Female,0.0596335600579729,0,Poor,1,1,Minor,0,4,50.8780955204035,2526.0309964116,Wet,Speeding,9,39027.1040234551,65932.2167122632,Asia,2216.18157240395
India,2004,April,Tuesday,Morning,Urban,Highway,Clear,496.753020947111,4,78,61+,Female,0.249116895935302,1,Poor,1,1,Minor,9,1,12.9480719651822,7687.10570560766,Wet,Speeding,8,42986.5924762294,83618.5812873163,North America,1542.58905325726
Japan,2005,June,Saturday,Evening,Urban,Highway,Windy,256.755529808397,4,64,26-40,Female,0.0153656181290028,0,Poor,0,1,Severe,8,2,19.5232337580879,7215.75091527598,Snow-covered,Mechanical Failure,8,20792.3842273002,76716.6878012739,South America,4256.95717438166
China,2018,March,Saturday,Afternoon,Rural,Main Road,Clear,353.608234545807,1,101,26-40,Male,0.193851836781489,1,Moderate,2,2,Minor,8,2,31.8256475365826,3980.42060852135,Icy,Speeding,6,21398.0218556447,53283.0910953079,South America,1441.7576243252
Canada,2009,April,Saturday,Night,Urban,Highway,Rainy,315.128083443983,3,72,26-40,Female,0.216659532535517,0,Poor,0,1,Minor,11,4,54.1032973564841,5022.48906200009,Dry,Weather,8,36061.5714640706,42435.0303842944,Europe,4683.55707693272
Brazil,2020,February,Saturday,Morning,Urban,Highway,Snowy,113.160557302346,2,62,18-25,Female,0.239163916388565,0,Poor,1,0,Minor,14,2,45.1690589423572,6360.53019318531,Dry,Mechanical Failure,8,7412.14534964813,62338.6895552028,North America,1774.2823392572
India,2016,March,Monday,Morning,Urban,Highway,Snowy,239.564796329976,2,97,18-25,Female,0.076637895535569,0,Moderate,2,0,Moderate,19,1,26.9712115515072,1031.35361775208,Wet,Speeding,6,47782.0890832961,38484.2479775501,South America,4366.49357601925
UK,2018,April,Sunday,Morning,Rural,Main Road,Foggy,329.556337962313,2,50,18-25,Male,0.178983491491974,1,Moderate,0,1,Severe,10,2,50.7175489496526,3266.19544727282,Icy,Drunk Driving,0,30778.3450485427,8678.45712105647,Asia,2167.66688084352
Japan,2006,November,Tuesday,Afternoon,Urban,Street,Windy,87.5626704121217,4,84,26-40,Male,0.103897156641151,0,Good,1,0,Minor,12,1,54.9746675816892,8576.44311258513,Dry,Weather,6,6519.32783260347,31376.297588665,Europe,2739.26378370914
USA,2013,October,Wednesday,Night,Rural,Main Road,Foggy,250.603286767228,3,82,<18,Female,0.180728153072654,1,Moderate,1,2,Moderate,3,3,46.4427422856163,5959.97004831259,Snow-covered,Distracted Driving,5,7228.1040270333,34374.7653037664,Europe,626.315701741507
Canada,2020,May,Wednesday,Afternoon,Urban,Highway,Foggy,178.9888879,3,45,18-25,Male,0.178686799222377,1,Moderate,2,2,Moderate,17,3,35.7007757030633,3813.49065266013,Dry,Distracted Driving,7,37361.4779924469,56611.2755642105,Australia,921.939772004439
Australia,2008,February,Thursday,Afternoon,Rural,Street,Foggy,493.904837194667,2,59,41-60,Male,0.212370878884198,0,Poor,1,0,Severe,15,3,8.41201586052895,7388.77435616653,Icy,Distracted Driving,3,40065.0233196637,46284.08951451,South America,2737.12454860382
Germany,2004,April,Monday,Night,Rural,Street,Foggy,78.2678590903574,4,118,61+,Male,0.151849032616564,1,Good,0,0,Moderate,16,1,56.0421555822922,9117.40677611143,Snow-covered,Weather,6,46134.1314810709,54678.5841826277,Asia,1296.3504737942
India,2024,December,Sunday,Afternoon,Urban,Street,Windy,238.852239515947,2,30,41-60,Male,0.249341609753465,0,Poor,1,2,Moderate,3,2,41.3418784700307,3305.49906553881,Icy,Mechanical Failure,9,21932.5897355293,77936.0806603398,Asia,2826.22944339334
China,2004,July,Sunday,Evening,Rural,Main Road,Rainy,327.251647556665,3,57,41-60,Female,0.191374149651774,0,Moderate,2,2,Moderate,19,1,37.1379442751715,1523.11550175422,Icy,Drunk Driving,3,32740.9157242591,31092.145986496,South America,4012.46260595623
Japan,2021,May,Monday,Afternoon,Rural,Highway,Snowy,366.795857625827,2,93,<18,Male,0.0407808835105359,0,Good,1,1,Moderate,4,4,22.19440888445,2795.60210329112,Wet,Drunk Driving,7,29747.6742671534,44162.2232191129,South America,2715.6283722638
Canada,2022,September,Thursday,Afternoon,Urban,Main Road,Foggy,71.6128751230017,3,30,41-60,Female,0.132910688623548,0,Good,0,2,Moderate,8,3,31.9490364652522,8474.34410908804,Icy,Speeding,0,33890.9097492115,32280.5739719724,Australia,2543.80495056492
Canada,2003,November,Tuesday,Evening,Rural,Main Road,Rainy,67.6908734104397,4,110,26-40,Female,0.0889273357065969,1,Poor,2,0,Minor,8,0,19.6115826272396,7736.10407761147,Snow-covered,Mechanical Failure,8,24879.848518062,56441.5708918106,Europe,4083.48387916716
Russia,2014,December,Thursday,Morning,Urban,Street,Snowy,115.57744772344,3,72,18-25,Male,0.0991884477899453,1,Good,0,2,Moderate,7,3,27.1037316750701,3859.22353320755,Dry,Weather,8,9518.78003626116,82204.966077089,Australia,3219.62300693388
Australia,2023,September,Tuesday,Evening,Urban,Street,Clear,485.501932052333,1,59,26-40,Male,0.196746695373448,0,Poor,2,0,Moderate,9,1,41.64699525962,3928.99596225566,Wet,Weather,5,23344.0256925518,64984.9200845351,North America,1667.59450391329
UK,2017,December,Tuesday,Morning,Rural,Highway,Clear,178.991789456767,1,110,18-25,Female,0.026711520246197,0,Moderate,1,0,Severe,8,2,56.7947158633795,7028.92122840791,Dry,Mechanical Failure,4,24319.6675196957,92788.4401127284,South America,889.74735968861
UK,2011,April,Sunday,Night,Urban,Main Road,Snowy,293.575265174094,4,65,26-40,Male,0.0864483508906451,0,Poor,0,1,Moderate,12,2,33.6524130286423,8260.98075911185,Icy,Weather,3,35865.8906710512,9117.44352650422,North America,2008.0621167841
Canada,2016,March,Saturday,Afternoon,Rural,Street,Rainy,381.556135851409,1,116,<18,Female,0.00172682951075359,1,Poor,0,2,Minor,17,1,10.4496891200355,5269.9224468753,Dry,Distracted Driving,3,47103.1767032748,75012.5632838802,Asia,4200.02963641403
Brazil,2017,November,Wednesday,Evening,Urban,Main Road,Foggy,403.819907537101,3,35,18-25,Male,0.221032082584281,1,Moderate,1,1,Severe,11,4,49.5393649823951,3581.22705223744,Snow-covered,Distracted Driving,1,28673.1058118161,4535.97420972937,Europe,3425.74287289041
UK,2003,January,Sunday,Evening,Rural,Street,Clear,75.000725120536,3,38,41-60,Male,0.0680098403410037,0,Moderate,1,0,Minor,10,3,33.3980244168631,3054.01500622216,Icy,Distracted Driving,2,20665.4438347298,29139.7959353775,Asia,374.174745709494
Germany,2020,May,Tuesday,Afternoon,Rural,Highway,Clear,362.103672434791,4,75,41-60,Male,0.0889251770363303,1,Moderate,2,2,Severe,0,3,40.0735825545252,388.708720060765,Snow-covered,Speeding,0,49757.2851695722,2707.42348940693,Europe,4741.14623406755
Japan,2009,August,Friday,Morning,Rural,Highway,Foggy,241.681595754859,1,112,61+,Male,0.224242614400009,1,Poor,2,0,Moderate,6,2,7.92126339036955,7605.63650520496,Dry,Speeding,7,15913.7649057421,8115.41594546582,Australia,844.444240421243
Russia,2024,January,Sunday,Evening,Urban,Highway,Foggy,469.170433689115,2,104,18-25,Female,0.127657933129482,0,Good,2,2,Moderate,2,3,23.582252439909,9625.18402461405,Snow-covered,Weather,4,8817.66443817743,73064.5301403267,South America,44.5281117260648
USA,2017,January,Saturday,Morning,Urban,Street,Clear,426.667068063138,1,72,41-60,Female,0.220281933887353,0,Poor,2,1,Severe,13,4,48.0440938243382,8177.45561607627,Dry,Weather,3,41486.7925637877,24218.0612301049,Australia,1868.84818612246
Brazil,2017,May,Wednesday,Evening,Rural,Highway,Windy,485.693507353528,2,36,61+,Male,0.15842047921064,0,Poor,1,2,Minor,16,3,42.1868829785917,8416.28374161522,Dry,Distracted Driving,0,29396.3079629935,15057.2232898794,South America,4996.12516595971
Australia,2012,July,Wednesday,Afternoon,Urban,Street,Clear,496.048753468394,2,30,18-25,Male,0.0658965637171919,0,Moderate,1,1,Minor,8,1,31.8911901521494,6216.4261641658,Dry,Mechanical Failure,4,37433.9396768802,83058.610608412,North America,3147.95887591712
Germany,2003,July,Friday,Morning,Urban,Main Road,Snowy,472.802638697252,3,113,41-60,Male,0.23949090932441,0,Moderate,1,2,Moderate,7,1,12.5829648139903,8259.91214745528,Dry,Speeding,4,29125.3377294435,17612.7847854128,North America,1743.27480870474
Australia,2018,July,Sunday,Afternoon,Rural,Street,Rainy,495.151999363273,1,35,41-60,Male,0.0771874446875296,1,Poor,1,1,Moderate,2,1,40.7394648708289,7544.52976508406,Snow-covered,Distracted Driving,6,16005.4448130477,1011.17573174163,South America,4014.38971140999
Japan,2010,April,Sunday,Night,Urban,Street,Rainy,423.43189561643,4,49,41-60,Male,0.24432030920198,1,Good,0,2,Severe,5,2,52.1595492002477,4580.93274583008,Snow-covered,Drunk Driving,1,31250.8159012303,43562.8089747825,Europe,2832.70354113457
Germany,2020,July,Saturday,Morning,Rural,Main Road,Clear,145.168028819188,3,45,18-25,Female,0.17032266835787,1,Moderate,2,0,Severe,9,1,32.89185587943,1134.33417881496,Snow-covered,Speeding,2,15701.9921717372,65390.0996352555,Asia,4512.31246451439
UK,2002,September,Monday,Afternoon,Rural,Highway,Foggy,166.969655248797,4,58,18-25,Male,0.244271801550237,1,Poor,0,0,Severe,17,4,37.9987159295508,617.575468856705,Dry,Speeding,2,31314.0483179945,87880.311418433,Australia,2526.62905074011
Canada,2022,November,Tuesday,Night,Rural,Main Road,Rainy,357.4067963143,3,64,26-40,Male,0.113510866202846,1,Good,1,0,Severe,2,3,33.088052411001,4379.7669530329,Wet,Speeding,6,8162.24386895835,5351.62808456394,South America,2605.21223973655
China,2020,September,Friday,Afternoon,Rural,Main Road,Clear,357.250261627057,3,115,41-60,Male,0.0353684408268275,1,Moderate,0,1,Severe,12,0,43.83985356529,8050.81430849239,Icy,Speeding,3,36131.8178603929,91586.0871781258,South America,1448.12880049518
Russia,2016,October,Monday,Evening,Rural,Highway,Snowy,187.187641210245,2,43,26-40,Female,0.196886289261176,0,Poor,1,1,Severe,6,4,27.3621179800793,8898.80554489283,Dry,Distracted Driving,9,47510.5497274944,3022.10982049849,Europe,4679.45106255005
India,2022,September,Thursday,Afternoon,Rural,Street,Foggy,372.921360675755,2,44,41-60,Female,0.00885112084297116,1,Good,0,2,Minor,8,3,37.1058948646569,1320.9628949256,Icy,Weather,3,47484.9749598051,2166.38706682322,North America,2318.23734212945
India,2023,July,Tuesday,Night,Rural,Main Road,Foggy,465.829283340559,3,43,61+,Female,0.0644514564736793,1,Poor,1,2,Moderate,11,3,17.0474325849067,9230.28341206096,Icy,Drunk Driving,4,35591.6765344517,27506.961117474,Australia,2963.07007325947
UK,2008,September,Wednesday,Morning,Rural,Street,Foggy,281.038306228223,1,49,18-25,Male,0.14739476325504,0,Poor,2,1,Severe,12,2,35.99533109406,7782.40623916783,Wet,Weather,4,24138.6327899555,74636.1849022626,South America,1077.22336878982
USA,2007,June,Thursday,Morning,Urban,Main Road,Clear,307.424784731464,1,72,41-60,Male,0.070079257183721,1,Poor,2,2,Moderate,10,0,27.3310610787497,8178.42561038495,Wet,Weather,5,46684.280899379,12944.9075029544,Europe,3722.69527517571
USA,2021,June,Tuesday,Evening,Rural,Highway,Windy,403.238571651535,3,94,61+,Male,0.130375143598012,0,Poor,2,0,Moderate,7,4,10.9336760016778,1554.23566867929,Dry,Speeding,5,43004.9813093841,7463.71515867223,Asia,2764.27422209317
Brazil,2003,December,Tuesday,Afternoon,Rural,Highway,Clear,107.655504384365,4,113,<18,Male,0.243742335488405,1,Moderate,1,1,Severe,19,0,10.5665147271069,8621.60102010389,Icy,Weather,6,14466.4540514964,24392.0814821169,South America,556.743635381233
Japan,2024,October,Wednesday,Night,Urban,Street,Rainy,320.366656438545,1,96,41-60,Male,0.171943629239574,1,Poor,1,0,Moderate,14,2,9.83538888029286,5642.0172386226,Icy,Distracted Driving,0,28125.3817519744,92813.1379456927,Asia,894.984837391062
India,2022,September,Saturday,Afternoon,Urban,Street,Foggy,89.799195842412,1,114,18-25,Male,0.176563032070385,1,Moderate,1,2,Minor,0,3,14.673903146348,106.591296130887,Dry,Drunk Driving,8,38464.6785834165,89527.3745644553,Australia,3550.02567877276
Canada,2018,May,Thursday,Afternoon,Urban,Street,Clear,317.432098733106,1,116,<18,Female,0.228188847164272,1,Poor,0,1,Moderate,19,0,11.0552202125038,792.351445051006,Icy,Mechanical Failure,9,22609.3488736303,79637.2078342816,Europe,2940.40047557626
USA,2012,September,Sunday,Evening,Urban,Main Road,Rainy,405.935343873934,4,117,<18,Male,0.0739334765172108,1,Poor,1,2,Moderate,12,2,20.263229422022,6412.65146659728,Icy,Weather,6,12008.3658417678,38912.6696154606,Australia,1596.6120620401
India,2009,April,Saturday,Afternoon,Urban,Main Road,Rainy,189.190867837564,1,80,61+,Male,0.119122334348614,1,Poor,1,2,Minor,7,2,53.9104179899104,737.812755214115,Dry,Drunk Driving,1,15814.3809122175,68119.5308430451,Europe,4859.90180988993
Germany,2016,October,Monday,Night,Urban,Main Road,Windy,253.307200105933,3,87,<18,Male,0.14436281950621,1,Moderate,2,2,Minor,10,1,29.9119059274609,6511.45018738865,Icy,Speeding,0,18137.8162397533,70931.6209752361,Australia,2648.57709349594
USA,2010,June,Saturday,Evening,Rural,Main Road,Rainy,173.87905199327,3,80,18-25,Female,0.199864005842509,0,Good,1,0,Minor,3,1,42.9303493876775,6541.31455410044,Dry,Distracted Driving,9,15385.6468679166,79668.9178761055,Australia,1902.17964598662
Brazil,2018,December,Thursday,Afternoon,Rural,Street,Snowy,489.463602372726,1,38,26-40,Female,0.0111179167384469,1,Moderate,0,1,Severe,1,0,47.7320704999366,7368.56512231059,Dry,Speeding,2,29989.4314880612,22499.1247850048,South America,2008.64589129092
UK,2022,December,Tuesday,Night,Rural,Main Road,Snowy,121.975334384911,4,91,<18,Female,0.0678728739556977,0,Poor,0,2,Minor,2,1,29.5062956390828,2357.05971823356,Wet,Speeding,6,34885.5857488718,29594.1859926152,Australia,587.927954407122
USA,2010,June,Sunday,Morning,Rural,Highway,Foggy,435.621733328282,2,117,26-40,Female,0.0547225129721979,1,Good,1,2,Moderate,0,1,19.4101418178007,4514.66567843138,Wet,Mechanical Failure,7,14367.8654430452,54471.5145289816,North America,1619.79327812215
Germany,2016,September,Wednesday,Morning,Urban,Street,Clear,403.724678048339,1,34,<18,Male,0.0868637399048286,0,Moderate,2,2,Minor,5,3,12.3726103000501,5511.25583154189,Dry,Speeding,2,48932.8357016424,34933.8840542426,North America,1371.89454702317
Brazil,2020,April,Friday,Morning,Urban,Highway,Foggy,176.650481853186,2,101,18-25,Male,0.0414337215332323,1,Good,0,1,Severe,14,3,29.34036150593,8392.10650926485,Wet,Speeding,9,33492.2910645432,86931.8859333109,Asia,3354.33013635871
Canada,2004,September,Friday,Morning,Urban,Street,Clear,416.593314066379,4,116,18-25,Female,0.0989799175040882,0,Poor,0,0,Severe,6,0,51.010977922131,8655.43588097516,Wet,Speeding,1,42493.7312657118,15713.6169781481,South America,2967.9547811249
Japan,2007,March,Friday,Night,Rural,Street,Windy,499.462740468072,3,86,61+,Male,0.191633764497891,1,Good,1,2,Moderate,9,3,52.3098060314091,9344.55804897843,Snow-covered,Drunk Driving,9,40955.8013003109,15460.3781169918,South America,3681.11349124537
China,2020,September,Thursday,Afternoon,Rural,Main Road,Windy,215.528342746909,4,108,41-60,Female,0.0245624297689147,0,Poor,1,0,Moderate,4,0,24.0230722548005,8416.59478705003,Wet,Distracted Driving,4,3438.49708862928,65287.0977169266,Europe,522.387028166015
China,2007,March,Thursday,Night,Rural,Main Road,Windy,133.632229726508,1,119,<18,Male,0.0955064548777325,1,Moderate,2,0,Severe,4,4,27.863105514425,4733.76272542133,Snow-covered,Weather,6,39483.2752856627,37685.573488137,South America,2967.78614782697
Russia,2013,May,Saturday,Afternoon,Urban,Highway,Rainy,368.99853727359,1,85,18-25,Male,0.182446089081016,0,Good,1,2,Minor,9,3,38.2480583272861,6719.81247963208,Dry,Distracted Driving,9,42515.0516689753,94910.875546203,Australia,2343.92988951502
Japan,2011,October,Friday,Night,Urban,Highway,Clear,285.295839220718,2,95,41-60,Male,0.173690817662273,0,Poor,2,1,Minor,16,1,16.3462919905734,692.74909682952,Wet,Distracted Driving,7,4884.54915152192,86681.8994456879,Europe,2048.80954813198
Brazil,2004,October,Monday,Evening,Urban,Street,Clear,416.848192102889,4,51,<18,Female,0.0243740305075475,0,Poor,0,1,Minor,8,0,28.3647983172009,8995.78491617124,Dry,Mechanical Failure,3,2499.58014236057,42988.0947153253,North America,2887.4202790605
Japan,2006,June,Saturday,Evening,Urban,Highway,Clear,203.207381067225,4,117,26-40,Male,0.118770457909006,1,Good,0,2,Minor,14,2,11.0495676769064,6350.9751281233,Icy,Drunk Driving,6,3041.71110329566,24724.3115681731,South America,4802.66430896214
Russia,2022,March,Tuesday,Night,Rural,Street,Clear,206.038174599618,4,42,26-40,Female,0.0669788012351638,1,Good,1,1,Minor,4,1,32.0444160254078,6546.96837817427,Dry,Mechanical Failure,5,21551.1790189146,71575.2685490463,Europe,2525.34048994767
China,2004,June,Tuesday,Afternoon,Urban,Street,Foggy,425.457905290281,4,118,<18,Female,0.232773363812835,0,Moderate,2,2,Severe,6,3,52.870440064407,1906.44479334714,Icy,Drunk Driving,1,46176.4579163575,46429.210349614,Europe,786.939922582675
